Identifier	Participant ID	count	Age.Band	Gender	keep	Expected Kinterm	Compositional Analysis	Which term was provided?	Reciprocal relationship	Task	correct_comp	correct_prod	correct	Referent_ID	Term	Task2	Kin.distance	Genealogical.distance	Half.sibling.merger	Same.sex.sibling.merger	Step.kin.merger	Task_name	Task_name2	Task_name3	Same-sex Sib Merger
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	yile	1 + 2S+1H	nginarr	NA	2	NA	FALSE	FALSE	Referent 46	FFBS > FFS > FB > F	2	1	4	1	2	0	production	inapposite	production	2
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	kawu by marriage	2 + 1S + 1M	kawu	NA	2	NA	TRUE	TRUE	Referent 48	MFBW > MFW > MM	2	2	4	0	1	1	production	inapposite	production	1
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	kaka 2	4	ngawurluk	NA	2	NA	FALSE	FALSE	Referent 49	FMBS	2	4	4	0	0	0	production	inapposite	production	0
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	wakal	1 + 1S	mama	NA	3	NA	FALSE	FALSE	Referent 50	MZ > M	3	1	2	0	1	0	altercentricity	inapposite	altercentric production	1
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	wakal, muluk, nginarr	4	nginarr	1	3	NA	TRUE	TRUE	Referent 51	MFZS yile 2	3	4	4	0	0	0	altercentricity	inapposite	altercentric production	0
Participant 15	Participant 5	5	C 10;7_13;3	M	TRUE	wakal, muluk	4	nginarr	NA	3	NA	FALSE	FALSE	Referent 53	FFZD  kale 2	3	4	4	0	0	0	altercentricity	inapposite	altercentric production	0
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	ngathan 1	1	*	NA	1	TRUE	TRUE	TRUE	Referent 55	B	1	1	1	0	0	0	comprehension	apposite	comprehension	0
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	yile 1	1 + 1S	*	NA	1	TRUE	TRUE	TRUE	Referent 56	FB > F	1	1	2	0	1	0	comprehension	apposite	comprehension	1
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	kale 1	1	*	NA	1	TRUE	TRUE	TRUE	Referent 57	M	1	1	1	0	0	0	comprehension	apposite	comprehension	0
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	munak 1	1 + 2S	*	NA	1	TRUE	TRUE	TRUE	Referent 58	MZD > MD > Z	1	1	3	1	1	0	comprehension	apposite	comprehension	1
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	ngathan 1	1 + 2S	*	NA	1	TRUE	TRUE	TRUE	Referent 59	MZS > MS > B	1	1	3	1	1	0	comprehension	inapposite	comprehension	1
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	kangkurl	2	*	NA	1	TRUE	TRUE	TRUE	Referent 60	FF	1	2	2	0	0	0	comprehension	apposite	comprehension	0
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	pipi 2	2	*	NA	1	TRUE	TRUE	TRUE	Referent 61	MMBD	1	4	4	0	0	0	comprehension	inapposite	comprehension	0
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	kaka 1	2 + 1S+1H	*	NA	1	TRUE	TRUE	TRUE	Referent 62	MFBS > MFS > MB	1	2	4	1	1	0	comprehension	inapposite	comprehension	1
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	kaka 2	4	*	NA	1	FALSE	FALSE	FALSE	Referent 63	FMBS	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	pugarli	3	*	NA	1	TRUE	TRUE	TRUE	Referent 64	MBD	1	3	3	0	0	0	comprehension	apposite	comprehension	0
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	kaka 1	2	*	NA	1	TRUE	TRUE	TRUE	Referent 65	MB	1	2	2	0	0	0	comprehension	inapposite	comprehension	0
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	mangka	2 + 1S	*	NA	1	TRUE	TRUE	TRUE	Referent 66	FMZ > FM	1	2	3	0	1	0	comprehension	apposite	comprehension	1
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	nangkun	2 + 2S+1H	*	NA	1	FALSE	FALSE	FALSE	Referent 67	MZDHB > MDHB > ZHB > ZH	1	2	5	1	2	0	comprehension	inapposite	comprehension	2
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	mangka by marriage	2 + 1S + 1H + 1M	*	NA	1	FALSE	FALSE	FALSE	Referent 35	FMFWD > FMMD > FMZ > FM	1	2	5	1	1	1	comprehension	inapposite	comprehension	1
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	ngathan 1	1 + 2S+2H	*	NA	1	TRUE	TRUE	TRUE	Referent 46	FFBSS > FFSS > FBS > FS > B	1	1	5	2	2	0	comprehension	apposite	comprehension	2
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	pipi	4	*	NA	1	FALSE	FALSE	FALSE	Referent 52	FMBD	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	yile 2	4	*	NA	1	TRUE	TRUE	TRUE	Referent 68	MMBS	1	4	4	0	0	0	comprehension	inapposite	comprehension	0
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	wakal	1 + 3S	kaka	NA	2	NA	FALSE	FALSE	Referent 71	MZDS > MDS > ZS	2	2	4	1	1	0	production	inapposite	production	1
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	pugarli	3	pugarli	1	2	NA	TRUE	TRUE	Referent 72	MBS	2	3	3	0	0	0	production	inapposite	production	0
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	wakal	1 + 3S	kaka	NA	2	NA	FALSE	FALSE	Referent 73	MZDS > MDS > ZS	2	2	4	1	1	0	production	inapposite	production	1
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	nangkun by marriage	2 + 2S	pugarli	1	2	NA	FALSE	FALSE	Referent 45	MZDH > MDH > ZH	2	2	4	1	1	0	production	inapposite	production	1
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	yile 1 by marriage	1 + 1S + 1M	dedi	NA	2	NA	TRUE	TRUE	Referent 74	MZH > MH > F	2	1	3	0	1	1	production	inapposite	production	1
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	kaka 2 by marriage	3 + 2S	paba	NA	2	NA	FALSE	FALSE	Referent 41	MZDHF > MDHF > ZHF	2	3	5	1	1	0	production	inapposite	production	1
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	wakal 1 by marriage	1 + 1S + 1M	nginarr	NA	3	NA	FALSE	FALSE	Referent 75	MZH > MH > F	3	1	3	0	1	1	altercentricity	inapposite	altercentric production	1
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	ngathan 1	1 + 2S	paba	1	3	NA	TRUE	TRUE	Referent 76	MZS > MS > B	3	1	3	1	1	0	altercentricity	inapposite	altercentric production	1
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	nangkun by marriage	3 + 2S	pugarli	NA	3	NA	FALSE	FALSE	Referent 53	MZDHZ > MDHZ > ZHZ	3	3	5	1	1	0	altercentricity	inapposite	altercentric production	1
Participant 40	Participant 6	6	D 13;4_16	M	TRUE	wakal, muluk	4	nginarr	NA	3	NA	FALSE	FALSE	Referent 77	FMBS	3	4	4	0	0	0	altercentricity	inapposite	altercentric production	0
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	ngathan 1	1	*	NA	1	TRUE	TRUE	TRUE	Referent 55	B	1	1	1	0	0	0	comprehension	apposite	comprehension	0
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	yile 1	1 + 1S	*	NA	1	TRUE	TRUE	TRUE	Referent 56	FB > F	1	1	2	0	1	0	comprehension	apposite	comprehension	1
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	kale 1	1	*	NA	1	TRUE	TRUE	TRUE	Referent 57	M	1	1	1	0	0	0	comprehension	apposite	comprehension	0
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	munak 1	1 + 2S	*	NA	1	TRUE	TRUE	TRUE	Referent 58	MZD > MD > Z	1	1	3	1	1	0	comprehension	apposite	comprehension	1
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	ngathan 1	1 + 2S	*	NA	1	TRUE	TRUE	TRUE	Referent 59	MZS > MS > B	1	1	3	1	1	0	comprehension	inapposite	comprehension	1
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	kangkurl	2	*	NA	1	TRUE	TRUE	TRUE	Referent 60	FF	1	2	2	0	0	0	comprehension	apposite	comprehension	0
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	pipi 2	2	*	NA	1	TRUE	TRUE	TRUE	Referent 61	MMBD	1	4	4	0	0	0	comprehension	inapposite	comprehension	0
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	kaka 1	2 + 1S+1H	*	NA	1	TRUE	TRUE	TRUE	Referent 62	MFBS > MFS > MB	1	2	4	1	1	0	comprehension	inapposite	comprehension	1
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	kaka 2	4	*	NA	1	FALSE	FALSE	FALSE	Referent 63	FMBS	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	pugarli	3	*	NA	1	TRUE	TRUE	TRUE	Referent 64	MBD	1	3	3	0	0	0	comprehension	apposite	comprehension	0
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	kaka 1	2	*	NA	1	TRUE	TRUE	TRUE	Referent 65	MB	1	2	2	0	0	0	comprehension	inapposite	comprehension	0
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	mangka	2 + 1S	*	NA	1	TRUE	TRUE	TRUE	Referent 66	FMZ > FM	1	2	3	0	1	0	comprehension	apposite	comprehension	1
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	nangkun	2 + 2S+1H	*	NA	1	TRUE	TRUE	TRUE	Referent 67	MZDHB > MDHB > ZHB > ZH	1	2	5	1	2	0	comprehension	inapposite	comprehension	2
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	mangka by marriage	2 + 1S + 1H + 1M	*	NA	1	TRUE	TRUE	TRUE	Referent 35	FMFWD > FMMD > FMZ > FM	1	2	5	1	1	1	comprehension	inapposite	comprehension	1
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	ngathan 1	1 + 2S+2H	*	NA	1	FALSE	FALSE	FALSE	Referent 46	FFBSS > FFSS > FBS > FS > B	1	1	5	2	2	0	comprehension	apposite	comprehension	2
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	pipi	4	*	NA	1	FALSE	FALSE	FALSE	Referent 52	FMBD	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	yile 2	4	*	NA	1	TRUE	TRUE	TRUE	Referent 68	MMBS	1	4	4	0	0	0	comprehension	inapposite	comprehension	0
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	wakal	1 + 3S	kaka	NA	2	NA	FALSE	FALSE	Referent 71	MZDS > MDS > ZS	2	2	4	1	1	0	production	inapposite	production	1
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	pugarli	3	pugarli	1	2	NA	TRUE	TRUE	Referent 72	MBS	2	3	3	0	0	0	production	inapposite	production	0
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	wakal	1 + 3S	wakal	NA	2	NA	TRUE	TRUE	Referent 73	MZDS > MDS > ZS	2	2	4	1	1	0	production	inapposite	production	1
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	nangkun by marriage	2 + 2S	pugarli	1	2	NA	FALSE	FALSE	Referent 45	MZDH > MDH > ZH	2	2	4	1	1	0	production	inapposite	production	1
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	yile 1 by marriage	1 + 1S + 1M	dedi, yile	NA	2	NA	TRUE	TRUE	Referent 74	MZH > MH > F	2	1	3	0	1	1	production	inapposite	production	1
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	kaka 2 by marriage	3 + 2S	pule	NA	2	NA	FALSE	FALSE	Referent 41	MZDHF > MDHF > ZHF	2	3	5	1	1	0	production	inapposite	production	1
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	wakal 1 by marriage	1 + 1S + 1M	nginarr	NA	3	NA	FALSE	FALSE	Referent 75	MZH > MH > F	3	1	3	0	1	1	altercentricity	inapposite	altercentric production	1
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	ngathan 1	1 + 2S	ngathan	1	3	NA	TRUE	TRUE	Referent 76	MZS > MS > B	3	1	3	1	1	0	altercentricity	inapposite	altercentric production	1
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	nangkun by marriage	3 + 2S	pugarli	NA	3	NA	FALSE	FALSE	Referent 53	MZDHZ > MDHZ > ZHZ	3	3	5	1	1	0	altercentricity	inapposite	altercentric production	1
Participant 41	Participant 7	7	D 13;4_16	M	TRUE	wakal, muluk	4	nginarr	NA	3	NA	FALSE	FALSE	Referent 77	FMBS	3	4	4	0	0	0	altercentricity	inapposite	altercentric production	0
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	ngathan 1	1	*	NA	1	TRUE	TRUE	TRUE	Referent 69	B	1	1	1	0	0	0	comprehension	apposite	comprehension	0
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	yile 1	1 + 1S	*	NA	1	TRUE	TRUE	TRUE	Referent 56	FB > F	1	1	2	0	1	0	comprehension	apposite	comprehension	1
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	kale 1	1	*	NA	1	TRUE	TRUE	TRUE	Referent 57	M	1	1	1	0	0	0	comprehension	apposite	comprehension	0
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	munak 1	1 + 2S	*	NA	1	TRUE	TRUE	TRUE	Referent 58	MZD > MD > Z	1	1	3	1	1	0	comprehension	apposite	comprehension	1
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	ngathan 1	1 + 2S	*	NA	1	TRUE	TRUE	TRUE	Referent 59	MZS > MS > B	1	1	3	1	1	0	comprehension	inapposite	comprehension	1
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	kangkurl	2	*	NA	1	TRUE	TRUE	TRUE	Referent 60	FF	1	2	2	0	0	0	comprehension	apposite	comprehension	0
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	pipi 2	2	*	NA	1	TRUE	TRUE	TRUE	Referent 61	MMBD	1	4	4	0	0	0	comprehension	inapposite	comprehension	0
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	kaka 1	2 + 1S+1H	*	NA	1	TRUE	TRUE	TRUE	Referent 62	MFBS > MFS > MB	1	2	4	1	1	0	comprehension	inapposite	comprehension	1
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	kaka 2	4	*	NA	1	FALSE	FALSE	FALSE	Referent 63	FMBS	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	pugarli	3	*	NA	1	TRUE	TRUE	TRUE	Referent 64	MBD	1	3	3	0	0	0	comprehension	apposite	comprehension	0
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	kaka 1	2	*	NA	1	TRUE	TRUE	TRUE	Referent 65	MB	1	2	2	0	0	0	comprehension	inapposite	comprehension	0
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	mangka	2 + 1S	*	NA	1	TRUE	TRUE	TRUE	Referent 66	FMZ > FM	1	2	3	0	1	0	comprehension	apposite	comprehension	1
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	nangkun	2 + 2S+1H	*	NA	1	TRUE	TRUE	TRUE	Referent 67	MZDHB > MDHB > ZHB > ZH	1	2	5	1	2	0	comprehension	inapposite	comprehension	2
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	mangka by marriage	2 + 1S + 1H + 1M	*	NA	1	TRUE	TRUE	TRUE	Referent 35	FMFWD > FMMD > FMZ > FM	1	2	5	1	1	1	comprehension	inapposite	comprehension	1
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	ngathan 1	1 + 2S+2H	*	NA	1	TRUE	TRUE	TRUE	Referent 46	FFBSS > FFSS > FBS > FS > B	1	1	5	2	2	0	comprehension	apposite	comprehension	2
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	pipi	4	*	NA	1	FALSE	FALSE	FALSE	Referent 52	FMBD	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	yile 2	4	*	NA	1	TRUE	TRUE	TRUE	Referent 68	MMBS	1	4	4	0	0	0	comprehension	inapposite	comprehension	0
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	wakal	1 + 3S	kaka	NA	2	NA	FALSE	FALSE	Referent 71	MZDS > MDS > ZS	2	2	4	1	1	0	production	inapposite	production	1
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	pugarli	3	pugarli	1	2	NA	TRUE	TRUE	Referent 72	MBS	2	3	3	0	0	0	production	inapposite	production	0
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	wakal	1 + 3S	kaka	NA	2	NA	FALSE	FALSE	Referent 73	MZDS > MDS > ZS	2	2	4	1	1	0	production	inapposite	production	1
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	nangkun by marriage	2 + 2S	pugarli	1	2	NA	FALSE	FALSE	Referent 45	MZDH > MDH > ZH	2	2	4	1	1	0	production	inapposite	production	1
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	yile 1 by marriage	1 + 1S + 1M	dedi	NA	2	NA	TRUE	TRUE	Referent 74	MZH > MH > F	2	1	3	0	1	1	production	inapposite	production	1
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	kaka 2 by marriage	3 + 2S	*	NA	2	NA	FALSE	FALSE	Referent 41	MZDHF > MDHF > ZHF	2	3	5	1	1	0	production	inapposite	production	1
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	wakal 1 by marriage	1 + 1S + 1M	kawu	NA	3	NA	FALSE	FALSE	Referent 75	MZH > MH > F	3	1	3	0	1	1	altercentricity	inapposite	altercentric production	1
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	ngathan 1	1 + 2S	paba	1	3	NA	TRUE	TRUE	Referent 76	MZS > MS > B	3	1	3	1	1	0	altercentricity	inapposite	altercentric production	1
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	nangkun by marriage	3 + 2S	pugarli	NA	3	NA	FALSE	FALSE	Referent 53	MZDHZ > MDHZ > ZHZ	3	3	5	1	1	0	altercentricity	inapposite	altercentric production	1
Participant 42	Participant 8	8	C 10;7_13;3	M	TRUE	wakal, muluk	4	kawu	NA	3	NA	FALSE	FALSE	Referent 77	FMBS	3	4	4	0	0	0	altercentricity	inapposite	altercentric production	0
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	ngathan 1	1	*	NA	1	TRUE	TRUE	TRUE	Referent 55	B	1	1	1	0	0	0	comprehension	apposite	comprehension	0
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	yile 1	1 + 1S	*	NA	1	TRUE	TRUE	TRUE	Referent 56	FB > F	1	1	2	0	1	0	comprehension	apposite	comprehension	1
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	kale 1	1	*	NA	1	TRUE	TRUE	TRUE	Referent 57	M	1	1	1	0	0	0	comprehension	apposite	comprehension	0
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	munak 1	1 + 2S	*	NA	1	TRUE	TRUE	TRUE	Referent 58	MZD > MD > Z	1	1	3	1	1	0	comprehension	apposite	comprehension	1
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	ngathan 1	1 + 2S	*	NA	1	TRUE	TRUE	TRUE	Referent 59	MZS > MS > B	1	1	3	1	1	0	comprehension	inapposite	comprehension	1
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	kangkurl	2	*	NA	1	TRUE	TRUE	TRUE	Referent 60	FF	1	2	2	0	0	0	comprehension	apposite	comprehension	0
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	pipi 2	2	*	NA	1	TRUE	TRUE	TRUE	Referent 61	MMBD	1	4	4	0	0	0	comprehension	inapposite	comprehension	0
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	kaka 1	2 + 1S+1H	*	NA	1	TRUE	TRUE	TRUE	Referent 62	MFBS > MFS > MB	1	2	4	1	1	0	comprehension	inapposite	comprehension	1
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	kaka 2	4	*	NA	1	FALSE	FALSE	FALSE	Referent 63	FMBS	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	pugarli	3	*	NA	1	TRUE	TRUE	TRUE	Referent 64	MBD	1	3	3	0	0	0	comprehension	apposite	comprehension	0
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	kaka 1	2	*	NA	1	TRUE	TRUE	TRUE	Referent 65	MB	1	2	2	0	0	0	comprehension	inapposite	comprehension	0
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	mangka	2 + 1S	*	NA	1	TRUE	TRUE	TRUE	Referent 66	FMZ > FM	1	2	3	0	1	0	comprehension	apposite	comprehension	1
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	nangkun	2 + 2S+1H	*	NA	1	TRUE	TRUE	TRUE	Referent 67	MZDHB > MDHB > ZHB > ZH	1	2	5	1	2	0	comprehension	inapposite	comprehension	2
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	mangka by marriage	2 + 1S + 1H + 1M	*	NA	1	TRUE	TRUE	TRUE	Referent 35	FMFWD > FMMD > FMZ > FM	1	2	5	1	1	1	comprehension	inapposite	comprehension	1
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	ngathan 1	1 + 2S+2H	*	NA	1	FALSE	FALSE	FALSE	Referent 46	FFBSS > FFSS > FBS > FS > B	1	1	5	2	2	0	comprehension	apposite	comprehension	2
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	pipi	4	*	NA	1	FALSE	FALSE	FALSE	Referent 52	FMBD	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	yile 2	4	*	NA	1	TRUE	TRUE	TRUE	Referent 68	MMBS	1	4	4	0	0	0	comprehension	inapposite	comprehension	0
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	wakal	1 + 3S	mama ??	NA	2	NA	FALSE	FALSE	Referent 71	MZDS > MDS > ZS	2	2	4	1	1	0	production	inapposite	production	1
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	pugarli	3	pugarli	1	2	NA	TRUE	TRUE	Referent 72	MBS	2	3	3	0	0	0	production	inapposite	production	0
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	wakal	1 + 3S	wakal	NA	2	NA	TRUE	TRUE	Referent 73	MZDS > MDS > ZS	2	2	4	1	1	0	production	inapposite	production	1
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	nangkun by marriage	2 + 2S	pugarli	NA	2	NA	FALSE	FALSE	Referent 45	MZDH > MDH > ZH	2	2	4	1	1	0	production	inapposite	production	1
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	yile 1 by marriage	1 + 1S + 1M	dedi	NA	2	NA	TRUE	TRUE	Referent 74	MZH > MH > F	2	1	3	0	1	1	production	inapposite	production	1
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	kaka 2 by marriage	3 + 2S	?kaka	NA	2	NA	TRUE	TRUE	Referent 41	MZDHF > MDHF > ZHF	2	3	5	1	1	0	production	inapposite	production	1
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	wakal 1 by marriage	1 + 1S + 1M	nginarr	NA	3	NA	FALSE	FALSE	Referent 75	MZH > MH > F	3	1	3	0	1	1	altercentricity	inapposite	altercentric production	1
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	munak 1	1 + 2S	ngathan	NA	3	NA	FALSE	FALSE	Referent 76	MZS > MS > B	3	1	3	1	1	0	altercentricity	inapposite	altercentric production	1
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	purrima by marriage	3 + 2S	pugarli	1	3	NA	FALSE	FALSE	Referent 53	MZDHZ > MDHZ > ZHZ	3	3	5	1	1	0	altercentricity	inapposite	altercentric production	1
Participant 43	Participant 9	9	B 7;10_10;6	F	TRUE	wakal, muluk	4	nginarr	NA	3	NA	FALSE	FALSE	Referent 77	FMBS	3	4	4	0	0	0	altercentricity	inapposite	altercentric production	0
Participant 9	Participant 10	10	B 7;10_10;6	M	TRUE	ngathan 1	1 + 2S+2H	*	NA	1	TRUE	TRUE	TRUE	Referent 1	FMZSS > FMSS > FBS > FS > B	1	1	5	2	2	0	comprehension	apposite	comprehension	2
Participant 9	Participant 10	10	B 7;10_10;6	M	TRUE	yile 1	1 + 1S	*	NA	1	TRUE	TRUE	TRUE	Referent 78	FB > F	1	1	2	0	1	0	comprehension	apposite	comprehension	1
Participant 9	Participant 10	10	B 7;10_10;6	M	TRUE	kale 1	1	*	NA	1	TRUE	TRUE	TRUE	Referent 26	M	1	1	1	0	0	0	comprehension	apposite	comprehension	0
Participant 9	Participant 10	10	B 7;10_10;6	M	TRUE	pipi 1	2 + 1S+1H	*	NA	1	FALSE	FALSE	FALSE	Referent 11	FMZD > FMD > FZ	1	2	4	1	1	0	comprehension	inapposite	comprehension	1
Participant 9	Participant 10	10	B 7;10_10;6	M	TRUE	munak 1	1 + 2S+2H	mumak	NA	1	TRUE	TRUE	TRUE	Referent 5	FMZSD > FMSD > FBD > FD > Z	1	1	5	2	2	0	comprehension	inapposite	comprehension	2
Participant 9	Participant 10	10	B 7;10_10;6	M	TRUE	kangkurl	2 + 1S	*	NA	1	TRUE	TRUE	TRUE	Referent 79	FFB > FF	1	2	3	0	1	0	comprehension	apposite	comprehension	1
Participant 9	Participant 10	10	B 7;10_10;6	M	TRUE	kawu F	1 + 1S	*	NA	1	FALSE	FALSE	FALSE	Referent 80	MMZ > MM	1	2	3	0	1	0	comprehension	inapposite	comprehension	1
Participant 9	Participant 10	10	B 7;10_10;6	M	TRUE	pugarli	1 + 1S + 1H	*	NA	1	TRUE	FALSE	TRUE	Referent 23	FMZDD > FMDD > FZD	1	3	5	1	1	0	comprehension	apposite	comprehension	1
Participant 9	Participant 10	10	B 7;10_10;6	M	TRUE	pipi 1	2	*	NA	1	TRUE	TRUE	TRUE	Referent 81	FZ	1	2	2	0	0	0	comprehension	inapposite	comprehension	0
Participant 9	Participant 10	10	B 7;10_10;6	M	TRUE	kaka 2	4	*	NA	1	FALSE	FALSE	FALSE	Referent 10	FMBS	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 9	Participant 10	10	B 7;10_10;6	M	TRUE	kangkurl F	3	*	NA	1	FALSE	FALSE	FALSE	Referent 82	FFZ	1	3	3	0	0	0	comprehension	inapposite	comprehension	0
Participant 9	Participant 10	10	B 7;10_10;6	M	TRUE	kale 2	4	*	NA	1	TRUE	TRUE	TRUE	Referent 83	FMBD	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 9	Participant 10	10	B 7;10_10;6	M	TRUE	yile 2	4	*	NA	1	TRUE	TRUE	TRUE	Referent 84	MMBS	1	4	4	0	0	0	comprehension	apposite	comprehension	0
Participant 9	Participant 10	10	B 7;10_10;6	M	TRUE	mangka	1 + 1S	*	NA	1	TRUE	TRUE	TRUE	Referent 27	FMZ > FM	1	2	3	0	1	0	comprehension	apposite	comprehension	1
